date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:40	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%2258e319d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardH/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardH/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardH/css/style.css)
13:30:41	1145/1145	---M-Z	200	added ('OK')	text/css	etag:%22c07e2ad5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/css/reset.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/css/reset.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:41	5853/5853	---M-Z	200	added ('OK')	text/css	etag:%2271a52ad5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/css/style.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/css/style.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:42	15253/15253	---M-Z	200	added ('OK')	application/javascript	etag:%22d9ae38d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/modernizr.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/modernizr.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:44	1159719/1159719	---M--	200	added ('OK')	image/png	etag:%229463b8c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/img/img-loading.png	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/img/img-loading.png	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:45	84349/84349	---M-Z	200	added ('OK')	application/javascript	etag:%2290836d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/jquery-2.1.4.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/jquery-2.1.4.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:46	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%2283fb36d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/jquery.mobile.custom.min.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/jquery.mobile.custom.min.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:46	7156/7156	---M-Z	200	added ('OK')	application/javascript	etag:%22fb1837d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/main.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/js/main.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:47	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%22ddfd5c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerH/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerH/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerH/css/style.css)
13:30:48	1145/1145	---M-Z	200	added ('OK')	text/css	etag:%2245ffefc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/css/reset.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/css/reset.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
